"YEAR";"SEX";"AGE";"GEO";"POPULATION"
2004;"Male";45;"Jász-Nagykun-Szolnok megye";16061
2004;"Male";45;"Szabolcs-Szatmár-Bereg megye";22689
2004;"Male";45;"Bács-Kiskun megye";21006
2004;"Male";45;"Békés megye";15742
2004;"Male";45;"Csongrád megye";15936
2004;"Male";50;"Budapest";58798
2004;"Male";50;"Pest megye";40631
2004;"Male";50;"Fejér megye";15661
2004;"Male";50;"Komárom-Esztergom megye";11112
2004;"Male";50;"Veszprém megye";13105
2004;"Male";50;"Gyõr-Moson-Sopron megye";15786
2004;"Male";50;"Vas megye";10348
2004;"Male";50;"Zala megye";11026
2004;"Male";50;"Baranya megye";13802
2004;"Male";50;"Somogy megye";12332
2004;"Male";50;"Tolna megye";9195
2004;"Male";50;"Borsod-Abaúj-Zemplén megye";24424
2004;"Male";50;"Heves megye";11319
2004;"Male";50;"Nógrád megye";7799
2004;"Male";50;"Hajdú-Bihar megye";18062
2004;"Male";50;"Jász-Nagykun-Szolnok megye";14585
2004;"Male";50;"Szabolcs-Szatmár-Bereg megye";19371
2004;"Male";50;"Bács-Kiskun megye";18714
2004;"Male";50;"Békés megye";14262
2004;"Male";50;"Csongrád megye";14609
2004;"Male";55;"Budapest";53202
2004;"Male";55;"Pest megye";33446
2004;"Male";55;"Fejér megye";12006
2004;"Male";55;"Komárom-Esztergom megye";9166
2004;"Male";55;"Veszprém megye";10501
2004;"Male";55;"Gyõr-Moson-Sopron megye";13104
2004;"Male";55;"Vas megye";8079
2004;"Male";55;"Zala megye";8425
2004;"Male";55;"Baranya megye";10812
2004;"Male";55;"Somogy megye";9580
2004;"Male";55;"Tolna megye";7299
2004;"Male";55;"Borsod-Abaúj-Zemplén megye";18860
2004;"Male";55;"Heves megye";9292
2004;"Male";55;"Nógrád megye";6245
2004;"Male";55;"Hajdú-Bihar megye";14357
2004;"Male";55;"Jász-Nagykun-Szolnok megye";11560
2004;"Male";55;"Szabolcs-Szatmár-Bereg megye";14032
2004;"Male";55;"Bács-Kiskun megye";15450
2004;"Male";55;"Békés megye";11566
2004;"Male";55;"Csongrád megye";12524
2004;"Male";60;"Budapest";44747
2004;"Male";60;"Pest megye";27327
2004;"Male";60;"Fejér megye";10014
2004;"Male";60;"Komárom-Esztergom megye";8042
2004;"Male";60;"Veszprém megye";9154
2004;"Male";60;"Gyõr-Moson-Sopron megye";10652
2004;"Male";60;"Vas megye";6628
2004;"Male";60;"Zala megye";6941
2004;"Male";60;"Baranya megye";9675
2004;"Male";60;"Somogy megye";7920
2004;"Male";60;"Tolna megye";5799
2004;"Male";60;"Borsod-Abaúj-Zemplén megye";16733
2004;"Male";60;"Heves megye";8034
2004;"Male";60;"Nógrád megye";5763
2004;"Male";60;"Hajdú-Bihar megye";12189
2004;"Male";60;"Jász-Nagykun-Szolnok megye";10230
2004;"Male";60;"Szabolcs-Szatmár-Bereg megye";10981
2004;"Male";60;"Bács-Kiskun megye";12831
2004;"Male";60;"Békés megye";9964
2004;"Male";60;"Csongrád megye";10748
2004;"Male";65;"Budapest";32767
2004;"Male";65;"Pest megye";19543
2004;"Male";65;"Fejér megye";8091
2004;"Male";65;"Komárom-Esztergom megye";6205
2004;"Male";65;"Veszprém megye";7134
2004;"Male";65;"Gyõr-Moson-Sopron megye";7722
2004;"Male";65;"Vas megye";4996
2004;"Male";65;"Zala megye";5596
2004;"Male";65;"Baranya megye";8225
2004;"Male";65;"Somogy megye";6297
2004;"Male";65;"Tolna megye";4870
2004;"Male";65;"Borsod-Abaúj-Zemplén megye";14438
2004;"Male";65;"Heves megye";6572
2004;"Male";65;"Nógrád megye";4713
2004;"Male";65;"Hajdú-Bihar megye";9828
2004;"Male";65;"Jász-Nagykun-Szolnok megye";8631
2004;"Male";65;"Szabolcs-Szatmár-Bereg megye";9266
2004;"Male";65;"Bács-Kiskun megye";10382
2004;"Male";65;"Békés megye";8416
2004;"Male";65;"Csongrád megye";8259
2004;"Male";70;"Budapest";30574
2004;"Male";70;"Pest megye";15865
2004;"Male";70;"Fejér megye";6957
2004;"Male";70;"Komárom-Esztergom megye";4894
2004;"Male";70;"Veszprém megye";6330
2004;"Male";70;"Gyõr-Moson-Sopron megye";7083
2004;"Male";70;"Vas megye";4343
2004;"Male";70;"Zala megye";5243
2004;"Male";70;"Baranya megye";6912
2004;"Male";70;"Somogy megye";5687
2004;"Male";70;"Tolna megye";4161
2004;"Male";70;"Borsod-Abaúj-Zemplén megye";11766
2004;"Male";70;"Heves megye";5873
2004;"Male";70;"Nógrád megye";3798
2004;"Male";70;"Hajdú-Bihar megye";8399
2004;"Male";70;"Jász-Nagykun-Szolnok megye";7229
2004;"Male";70;"Szabolcs-Szatmár-Bereg megye";8181
2004;"Male";70;"Bács-Kiskun megye";9172
2004;"Male";70;"Békés megye";7156
2004;"Male";70;"Csongrád megye";7101
2004;"Male";75;"Budapest";23329
2004;"Male";75;"Pest megye";10256
2004;"Male";75;"Fejér megye";4460
2004;"Male";75;"Komárom-Esztergom megye";3177
2004;"Male";75;"Veszprém megye";4113
2004;"Male";75;"Gyõr-Moson-Sopron megye";5274
2004;"Male";75;"Vas megye";3114
2004;"Male";75;"Zala megye";3679
2004;"Male";75;"Baranya megye";4565
2004;"Male";75;"Somogy megye";3910
2004;"Male";75;"Tolna megye";2894
2004;"Male";75;"Borsod-Abaúj-Zemplén megye";7617
2004;"Male";75;"Heves megye";3896
2004;"Male";75;"Nógrád megye";2388
2004;"Male";75;"Hajdú-Bihar megye";5799
2004;"Male";75;"Jász-Nagykun-Szolnok megye";5154
2004;"Male";75;"Szabolcs-Szatmár-Bereg megye";5636
2004;"Male";75;"Bács-Kiskun megye";6406
2004;"Male";75;"Békés megye";5516
2004;"Male";75;"Csongrád megye";5191
2004;"Male";80;"Budapest";14937
2004;"Male";80;"Pest megye";6137
2004;"Male";80;"Fejér megye";2377
2004;"Male";80;"Komárom-Esztergom megye";1796
2004;"Male";80;"Veszprém megye";2298
2004;"Male";80;"Gyõr-Moson-Sopron megye";3140
2004;"Male";80;"Vas megye";1896
2004;"Male";80;"Zala megye";2154
2004;"Male";80;"Baranya megye";2585
2004;"Male";80;"Somogy megye";2268
2004;"Male";80;"Tolna megye";1771
2004;"Male";80;"Borsod-Abaúj-Zemplén megye";4547
2004;"Male";80;"Heves megye";2286
2004;"Male";80;"Nógrád megye";1439
2004;"Male";80;"Hajdú-Bihar megye";3549
2004;"Male";80;"Jász-Nagykun-Szolnok megye";2866
2004;"Male";80;"Szabolcs-Szatmár-Bereg megye";3174
2004;"Male";80;"Bács-Kiskun megye";3827
2004;"Male";80;"Békés megye";3467
2004;"Male";80;"Csongrád megye";3253
2004;"Male";85;"Budapest";7624
2004;"Male";85;"Pest megye";2635
2004;"Male";85;"Fejér megye";844
2004;"Male";85;"Komárom-Esztergom megye";677
2004;"Male";85;"Veszprém megye";972
2004;"Male";85;"Gyõr-Moson-Sopron megye";1320
2004;"Male";85;"Vas megye";837
2004;"Male";85;"Zala megye";811
2004;"Male";85;"Baranya megye";950
2004;"Male";85;"Somogy megye";886
2004;"Male";85;"Tolna megye";637
2004;"Male";85;"Borsod-Abaúj-Zemplén megye";1715
2004;"Male";85;"Heves megye";844
2004;"Male";85;"Nógrád megye";596
2004;"Male";85;"Hajdú-Bihar megye";1468
2004;"Male";85;"Jász-Nagykun-Szolnok megye";1284
2004;"Male";85;"Szabolcs-Szatmár-Bereg megye";1082
2004;"Male";85;"Bács-Kiskun megye";1496
2004;"Male";85;"Békés megye";1565
2004;"Male";85;"Csongrád megye";1450
2004;"Female";0;"Budapest";33404
2004;"Female";0;"Pest megye";29299
2004;"Female";0;"Fejér megye";9593
2004;"Female";0;"Komárom-Esztergom megye";7034
2004;"Female";0;"Veszprém megye";7868
2004;"Female";0;"Gyõr-Moson-Sopron megye";9763
2004;"Female";0;"Vas megye";5556
2004;"Female";0;"Zala megye";5800
2004;"Female";0;"Baranya megye";8792
2004;"Female";0;"Somogy megye";7546
2004;"Female";0;"Tolna megye";5400
2004;"Female";0;"Borsod-Abaúj-Zemplén megye";18994
2004;"Female";0;"Heves megye";7511
2004;"Female";0;"Nógrád megye";5095
2004;"Female";0;"Hajdú-Bihar megye";14096
2004;"Female";0;"Jász-Nagykun-Szolnok megye";9773
2004;"Female";0;"Szabolcs-Szatmár-Bereg megye";16248
2004;"Female";0;"Bács-Kiskun megye";12230
2004;"Female";0;"Békés megye";8504
2004;"Female";0;"Csongrád megye";9350
2004;"Female";5;"Budapest";32136
2004;"Female";5;"Pest megye";31187
2004;"Female";5;"Fejér megye";10949
2004;"Female";5;"Komárom-Esztergom megye";8017
2004;"Female";5;"Veszprém megye";9070
2004;"Female";5;"Gyõr-Moson-Sopron megye";10554
2004;"Female";5;"Vas megye";6460
2004;"Female";5;"Zala megye";6740
2004;"Female";5;"Baranya megye";9790
2004;"Female";5;"Somogy megye";8543
2004;"Female";5;"Tolna megye";6010
2004;"Female";5;"Borsod-Abaúj-Zemplén megye";21561
2004;"Female";5;"Heves megye";8027
2004;"Female";5;"Nógrád megye";5639
2004;"Female";5;"Hajdú-Bihar megye";15546
2004;"Female";5;"Jász-Nagykun-Szolnok megye";11051
2004;"Female";5;"Szabolcs-Szatmár-Bereg megye";18938
2004;"Female";5;"Bács-Kiskun megye";13812
2004;"Female";5;"Békés megye";9757
2004;"Female";5;"Csongrád megye";10378
2004;"Female";10;"Budapest";38139
2004;"Female";10;"Pest megye";34739
2004;"Female";10;"Fejér megye";13489
2004;"Female";10;"Komárom-Esztergom megye";9524
2004;"Female";10;"Veszprém megye";10950
2004;"Female";10;"Gyõr-Moson-Sopron megye";12430
2004;"Female";10;"Vas megye";7792
2004;"Female";10;"Zala megye";8225
2004;"Female";10;"Baranya megye";11613
2004;"Female";10;"Somogy megye";10230
2004;"Female";10;"Tolna megye";7561
2004;"Female";10;"Borsod-Abaúj-Zemplén megye";24270
2004;"Female";10;"Heves megye";9306
2004;"Female";10;"Nógrád megye";6466
2004;"Female";10;"Hajdú-Bihar megye";18056
2004;"Female";10;"Jász-Nagykun-Szolnok megye";12928
2004;"Female";10;"Szabolcs-Szatmár-Bereg megye";20289
2004;"Female";10;"Bács-Kiskun megye";16956
2004;"Female";10;"Békés megye";11919
2004;"Female";10;"Csongrád megye";12212
2004;"Female";15;"Budapest";43695
2004;"Female";15;"Pest megye";33913
2004;"Female";15;"Fejér megye";13424
2004;"Female";15;"Komárom-Esztergom megye";9896
2004;"Female";15;"Veszprém megye";11987
2004;"Female";15;"Gyõr-Moson-Sopron megye";13850
2004;"Female";15;"Vas megye";8008
2004;"Female";15;"Zala megye";9272
2004;"Female";15;"Baranya megye";12804
2004;"Female";15;"Somogy megye";10184
2004;"Female";15;"Tolna megye";7712
2004;"Female";15;"Borsod-Abaúj-Zemplén megye";25419
2004;"Female";15;"Heves megye";10100
2004;"Female";15;"Nógrád megye";6590
2004;"Female";15;"Hajdú-Bihar megye";19149
2004;"Female";15;"Jász-Nagykun-Szolnok megye";13201
2004;"Female";15;"Szabolcs-Szatmár-Bereg megye";21234
2004;"Female";15;"Bács-Kiskun megye";17380
2004;"Female";15;"Békés megye";12617
2004;"Female";15;"Csongrád megye";13251
2004;"Female";20;"Budapest";60105
2004;"Female";20;"Pest megye";37482
2004;"Female";20;"Fejér megye";14885
2004;"Female";20;"Komárom-Esztergom megye";10675
2004;"Female";20;"Veszprém megye";13378
2004;"Female";20;"Gyõr-Moson-Sopron megye";16088
2004;"Female";20;"Vas megye";9036
2004;"Female";20;"Zala megye";10252
2004;"Female";20;"Baranya megye";14436
2004;"Female";20;"Somogy megye";10914
2004;"Female";20;"Tolna megye";7841
2004;"Female";20;"Borsod-Abaúj-Zemplén megye";25216
2004;"Female";20;"Heves megye";10857
2004;"Female";20;"Nógrád megye";6750
2004;"Female";20;"Hajdú-Bihar megye";19906
2004;"Female";20;"Jász-Nagykun-Szolnok megye";14311
2004;"Female";20;"Szabolcs-Szatmár-Bereg megye";21127
2004;"Female";20;"Bács-Kiskun megye";18350
2004;"Female";20;"Békés megye";12618
2004;"Female";20;"Csongrád megye";15202
2004;"Female";25;"Budapest";84423
2004;"Female";25;"Pest megye";48338
2004;"Female";25;"Fejér megye";18122
2004;"Female";25;"Komárom-Esztergom megye";13478
2004;"Female";25;"Veszprém megye";14651
2004;"Female";25;"Gyõr-Moson-Sopron megye";19250
2004;"Female";25;"Vas megye";10716
2004;"Female";25;"Zala megye";11595
2004;"Female";25;"Baranya megye";16333
2004;"Female";25;"Somogy megye";12887
2004;"Female";25;"Tolna megye";9487
2004;"Female";25;"Borsod-Abaúj-Zemplén megye";26832
2004;"Female";25;"Heves megye";12600
2004;"Female";25;"Nógrád megye";7947
2004;"Female";25;"Hajdú-Bihar megye";22845
2004;"Female";25;"Jász-Nagykun-Szolnok megye";15751
2004;"Female";25;"Szabolcs-Szatmár-Bereg megye";23092
2004;"Female";25;"Bács-Kiskun megye";20860
2004;"Female";25;"Békés megye";14570
2004;"Female";25;"Csongrád megye";17936
2004;"Female";30;"Budapest";66293
2004;"Female";30;"Pest megye";43799
2004;"Female";30;"Fejér megye";14957
2004;"Female";30;"Komárom-Esztergom megye";10719
2004;"Female";30;"Veszprém megye";12441
2004;"Female";30;"Gyõr-Moson-Sopron megye";15706
2004;"Female";30;"Vas megye";9364
2004;"Female";30;"Zala megye";9903
2004;"Female";30;"Baranya megye";13759
2004;"Female";30;"Somogy megye";11117
2004;"Female";30;"Tolna megye";8229
2004;"Female";30;"Borsod-Abaúj-Zemplén megye";23654
2004;"Female";30;"Heves megye";10569
2004;"Female";30;"Nógrád megye";6904
2004;"Female";30;"Hajdú-Bihar megye";19124
2004;"Female";30;"Jász-Nagykun-Szolnok megye";13064
2004;"Female";30;"Szabolcs-Szatmár-Bereg megye";20398
2004;"Female";30;"Bács-Kiskun megye";18319
2004;"Female";30;"Békés megye";12308
2004;"Female";30;"Csongrád megye";14786
2004;"Female";35;"Budapest";54760
2004;"Female";35;"Pest megye";38872
2004;"Female";35;"Fejér megye";13687
2004;"Female";35;"Komárom-Esztergom megye";10405
2004;"Female";35;"Veszprém megye";11779
2004;"Female";35;"Gyõr-Moson-Sopron megye";13704
2004;"Female";35;"Vas megye";8485
2004;"Female";35;"Zala megye";9461
2004;"Female";35;"Baranya megye";13133
2004;"Female";35;"Somogy megye";10405
2004;"Female";35;"Tolna megye";8108
2004;"Female";35;"Borsod-Abaúj-Zemplén megye";23706
2004;"Female";35;"Heves megye";9720
2004;"Female";35;"Nógrád megye";6893
2004;"Female";35;"Hajdú-Bihar megye";17976
2004;"Female";35;"Jász-Nagykun-Szolnok megye";12598
2004;"Female";35;"Szabolcs-Szatmár-Bereg megye";19010
2004;"Female";35;"Bács-Kiskun megye";17157
2004;"Female";35;"Békés megye";12259
2004;"Female";35;"Csongrád megye";13697
2004;"Female";40;"Budapest";48014
2004;"Female";40;"Pest megye";34979
2004;"Female";40;"Fejér megye";13671
2004;"Female";40;"Komárom-Esztergom megye";10298
2004;"Female";40;"Veszprém megye";11931
2004;"Female";40;"Gyõr-Moson-Sopron megye";13456
2004;"Female";40;"Vas megye";8459
2004;"Female";40;"Zala megye";10062
2004;"Female";40;"Baranya megye";13498
2004;"Female";40;"Somogy megye";10746
2004;"Female";40;"Tolna megye";7950
2004;"Female";40;"Borsod-Abaúj-Zemplén megye";24389
2004;"Female";40;"Heves megye";10105
2004;"Female";40;"Nógrád megye";7200
2004;"Female";40;"Hajdú-Bihar megye";17758
2004;"Female";40;"Jász-Nagykun-Szolnok megye";12690
2004;"Female";40;"Szabolcs-Szatmár-Bereg megye";19238
2004;"Female";40;"Bács-Kiskun megye";17532
2004;"Female";40;"Békés megye";12079
2004;"Female";40;"Csongrád megye";12996
2004;"Female";45;"Budapest";66556
2004;"Female";45;"Pest megye";43216
2004;"Female";45;"Fejér megye";17783
2004;"Female";45;"Komárom-Esztergom megye";12910
2004;"Female";45;"Veszprém megye";15288
2004;"Female";45;"Gyõr-Moson-Sopron megye";17872
2004;"Female";45;"Vas megye";10947
2004;"Female";45;"Zala megye";12726
2004;"Female";45;"Baranya megye";17069
2004;"Female";45;"Somogy megye";13911
2004;"Female";45;"Tolna megye";10587
2004;"Female";45;"Borsod-Abaúj-Zemplén megye";29188
2004;"Female";45;"Heves megye";13304
2004;"Female";45;"Nógrád megye";8767
2004;"Female";45;"Hajdú-Bihar megye";22036
2004;"Female";45;"Jász-Nagykun-Szolnok megye";16814
2004;"Female";45;"Szabolcs-Szatmár-Bereg megye";23084
2004;"Female";45;"Bács-Kiskun megye";22200
2004;"Female";45;"Békés megye";15983
2004;"Female";45;"Csongrád megye";17230
2004;"Female";50;"Budapest";73327
2004;"Female";50;"Pest megye";43893
2004;"Female";50;"Fejér megye";16282
2004;"Female";50;"Komárom-Esztergom megye";12228
2004;"Female";50;"Veszprém megye";13978
2004;"Female";50;"Gyõr-Moson-Sopron megye";16798
2004;"Female";50;"Vas megye";10470
2004;"Female";50;"Zala megye";11582
2004;"Female";50;"Baranya megye";15351
2004;"Female";50;"Somogy megye";13331
2004;"Female";50;"Tolna megye";9777
2004;"Female";50;"Borsod-Abaúj-Zemplén megye";27056
2004;"Female";50;"Heves megye";12760
2004;"Female";50;"Nógrád megye";8409
2004;"Female";50;"Hajdú-Bihar megye";20000
2004;"Female";50;"Jász-Nagykun-Szolnok megye";15556
2004;"Female";50;"Szabolcs-Szatmár-Bereg megye";20546
2004;"Female";50;"Bács-Kiskun megye";20188
2004;"Female";50;"Békés megye";15112
2004;"Female";50;"Csongrád megye";16651
2004;"Female";55;"Budapest";69493
2004;"Female";55;"Pest megye";37369
2004;"Female";55;"Fejér megye";13263
2004;"Female";55;"Komárom-Esztergom megye";10185
2004;"Female";55;"Veszprém megye";11461
2004;"Female";55;"Gyõr-Moson-Sopron megye";14257
2004;"Female";55;"Vas megye";8758
2004;"Female";55;"Zala megye";9564
2004;"Female";55;"Baranya megye";13027
2004;"Female";55;"Somogy megye";10883
2004;"Female";55;"Tolna megye";8102
2004;"Female";55;"Borsod-Abaúj-Zemplén megye";22557
2004;"Female";55;"Heves megye";10880
2004;"Female";55;"Nógrád megye";7325
2004;"Female";55;"Hajdú-Bihar megye";16392
2004;"Female";55;"Jász-Nagykun-Szolnok megye";12887
2004;"Female";55;"Szabolcs-Szatmár-Bereg megye";16320
2004;"Female";55;"Bács-Kiskun megye";18007
2004;"Female";55;"Békés megye";12897
2004;"Female";55;"Csongrád megye";14868
2004;"Female";60;"Budapest";60443
2004;"Female";60;"Pest megye";33028
2004;"Female";60;"Fejér megye";12895
2004;"Female";60;"Komárom-Esztergom megye";10110
2004;"Female";60;"Veszprém megye";11229
2004;"Female";60;"Gyõr-Moson-Sopron megye";12770
